customer_id,name,gender,age,job_title,job_industry_category,past_3_years_bike_related_purchases,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation
28,Fee Zellmer,Male,44,Senior Quality Engineer,Health,5,Affluent Customer,No,Yes,21,48 Eagan Avenue,4868,Queensland,Australia,4
29,Mona Sancraft,Female,49,Safety Technician III,Manufacturing,62,Mass Customer,No,No,19,9 Buell Park,4116,Queensland,Australia,7
30,Darrick Helleckas,Male,56,N/A,IT,18,Affluent Customer,No,Yes,6,02663 Buell Parkway,2519,New South Wales,Australia,11
31,Star Praton,Female,55,Staff Accountant III,Telecommunications,3,High Net Worth,No,Yes,14,2294 Pleasure Place,2135,New South Wales,Australia,12
32,Marion Vanichkin,Female,22,Legal Assistant,Manufacturing,17,Affluent Customer,No,No,4,2951 Petterle Place,2756,New South Wales,Australia,9
33,Ernst Hacon,Male,60,Product Engineer,N/A,44,Affluent Customer,No,Yes,11,63 Lukken Drive,2170,New South Wales,Australia,9
35,Margaretha Strettle,Female,54,Information Systems Manager,Health,40,High Net Worth,No,Yes,16,34 Russell Plaza,4127,Queensland,Australia,6
36,Lurette Stonnell,Female,40,VP Quality Control,N/A,33,Affluent Customer,No,No,22,78 Del Sol Hill,2535,New South Wales,Australia,8
37,Laurie Dwerryhouse,Female,32,Social Worker,Health,46,High Net Worth,No,No,16,54 Sage Plaza,4726,Queensland,Australia,1
38,Cordi Merman,Female,62,Senior Cost Accountant,Financial Services,37,Affluent Customer,No,No,20,90 Lawn Parkway,4805,Queensland,Australia,4
39,Hunfredo Smalley,Male,38,Assistant Media Planner,Entertainment,5,Mass Customer,No,No,22,38726 Ilene Crossing,2212,New South Wales,Australia,10
40,Tomasine Jerche,Female,36,Payment Adjustment Coordinator,Manufacturing,91,Affluent Customer,No,No,14,3496 Brown Drive,2207,New South Wales,Australia,8
41,Basilius Coupe,Male,41,Food Chemist,Health,64,Mass Customer,No,No,16,7188 Cody Way,3350,Victoria,Australia,9
42,Chiquita Durnall,Female,40,Accountant III,Manufacturing,24,Mass Customer,No,No,18,1 Claremont Park,3931,Victoria,Australia,10
43,Indira Belt,Female,34,Director of Sales,Retail,38,Mass Customer,No,No,5,60 Eagan Circle,4018,Queensland,Australia,8
44,Neron Verick,Male,36,Assistant Media Planner,Entertainment,63,Affluent Customer,No,Yes,17,89314 Eagle Crest Center,4670,Queensland,Australia,2
45,Trace Woodhead,Male,42,Senior Financial Analyst,Financial Services,64,Mass Customer,No,No,8,2028 Lakewood Place,2480,New South Wales,Australia,3
46,Kaila Allin,Female,45,N/A,N/A,98,Affluent Customer,No,Yes,15,70875 Hudson Point,3212,Victoria,Australia,6
47,Matthew Jeaycock,Male,25,Registered Nurse,Health,51,Affluent Customer,No,No,2,543 Killdeer Park,2322,New South Wales,Australia,4
48,Rebbecca Casone,Female,42,Biostatistician II,N/A,46,Mass Customer,No,Yes,8,22125 Ramsey Drive,3198,Victoria,Australia,9
49,Nolly Ownsworth,Male,23,VP Quality Control,N/A,63,Affluent Customer,No,No,1,3107 Calypso Terrace,2210,New South Wales,Australia,9
50,Whitby Schapero,Male,37,Account Executive,Manufacturing,38,Mass Customer,No,Yes,16,957 Veith Junction,2047,New South Wales,Australia,10
51,Fidelio Dilke,Male,58,Computer Systems Analyst II,Retail,68,Mass Customer,No,No,18,4853 Gulseth Avenue,4503,Queensland,Australia,5
52,Curran Bentson,Male,29,N/A,Financial Services,57,Mass Customer,No,Yes,13,9 Michigan Terrace,2145,New South Wales,Australia,8
53,Agnella Gocke,Female,63,Software Test Engineer II,Financial Services,22,Mass Customer,No,No,16,62 Steensland Road,4350,Queensland,Australia,3
54,Loralyn Wonfor,Female,51,Sales Associate,Property,2,Mass Customer,No,Yes,18,6 Homewood Avenue,2142,New South Wales,Australia,8
55,Linc Jillions,Male,61,Paralegal,Financial Services,48,Affluent Customer,No,Yes,7,15 Almo Lane,2029,New South Wales,Australia,10
56,Reese Ensor,Male,21,VP Sales,Property,44,Mass Customer,No,Yes,4,690 Glacier Hill Circle,2127,New South Wales,Australia,10
57,Abba Masedon,Male,29,Chief Design Engineer,N/A,87,Mass Customer,No,Yes,13,89787 Village Green Terrace,4280,Queensland,Australia,6
58,Dalenna Pinnock,Female,50,Office Assistant III,Financial Services,26,Affluent Customer,No,Yes,17,18 Elgar Park,2166,New South Wales,Australia,9
59,Niki Heathcote,Male,17,Physical Therapy Assistant,N/A,60,High Net Worth,No,No,3,413 Mayer Street,2046,New South Wales,Australia,9
60,Nadiya Champerlen,Female,47,N/A,Manufacturing,18,Mass Customer,No,No,10,39 3rd Drive,2026,New South Wales,Australia,10
61,Kacey Rowbottom,Female,58,Help Desk Operator,Property,47,High Net Worth,No,No,13,44516 Katie Parkway,2765,New South Wales,Australia,7
62,Sorcha Roggers,Female,38,N/A,IT,38,Mass Customer,No,Yes,22,41 Schurz Center,2749,New South Wales,Australia,8
63,Ebony Zini,Female,52,Senior Quality Engineer,Retail,58,Mass Customer,No,Yes,16,68150 Boyd Road,2745,New South Wales,Australia,9
64,Gerek Yve,Male,39,Legal Assistant,IT,73,High Net Worth,No,No,4,11474 Westend Hill,3752,Victoria,Australia,8
65,Yale Tanser,Male,41,Information Systems Manager,Financial Services,21,Affluent Customer,No,Yes,15,308 Jana Crossing,2153,New South Wales,Australia,10
66,Anselm Gawne,Male,15,Account Executive,Argiculture,46,High Net Worth,No,No,1,163 Straubel Trail,2217,New South Wales,Australia,10
67,Vernon,Male,57,Web Developer II,Retail,67,Mass Customer,No,No,18,68294 Clarendon Crossing,2230,New South Wales,Australia,10
68,Dahlia Eddoes,Female,43,Information Systems Manager,N/A,37,Affluent Customer,No,No,9,486 Mariners Cove Plaza,3046,Victoria,Australia,7
69,Heidi Milner,Female,48,Web Developer II,N/A,16,Mass Customer,No,No,6,0322 Dryden Court,3183,Victoria,Australia,7
70,Foster Vannoort,Male,24,Paralegal,Financial Services,78,Affluent Customer,No,No,8,9 Bonner Road,2070,New South Wales,Australia,12
71,Hoyt Glavias,Male,32,Research Associate,Argiculture,30,Affluent Customer,No,Yes,12,07041 Briar Crest Lane,2213,New South Wales,Australia,10
72,Sammy Cheese,Male,45,Administrative Officer,Manufacturing,93,Affluent Customer,No,Yes,16,29466 Hanson Pass,4208,Queensland,Australia,6
73,Minette Worters,Female,57,Teacher,N/A,16,Affluent Customer,No,Yes,5,0212 Forest Run Trail,2774,New South Wales,Australia,8
74,Pansy Kiddie,Female,48,N/A,N/A,94,Mass Customer,No,Yes,6,33055 Menomonie Parkway,4133,Queensland,Australia,8
75,Dollie Sealy,Female,39,VP Product Management,Property,28,Mass Customer,No,No,19,4763 Merchant Avenue,2756,New South Wales,Australia,8
76,Rea Hasser,Female,39,Statistician II,Retail,20,High Net Worth,No,Yes,18,439 Ridgeway Court,4213,Queensland,Australia,9
77,Shermie Andrin,Male,28,Automation Specialist IV,Financial Services,79,Mass Customer,No,No,7,2 Clyde Gallagher Lane,4170,Queensland,Australia,5
78,Arch Van der Kruis,Male,32,Business Systems Development Analyst,Argiculture,37,Affluent Customer,No,No,8,97455 Loeprich Lane,2153,New South Wales,Australia,9
79,Tybi Silliman,Female,49,Account Executive,Manufacturing,76,Mass Customer,No,No,18,9527 Ridgeway Street,2073,New South Wales,Australia,10
80,Pablo Small,Male,39,Data Coordiator,Entertainment,11,Mass Customer,No,No,13,7 Jackson Point,3561,Victoria,Australia,1
81,Bee Blazewicz,Female,31,N/A,Health,58,High Net Worth,No,No,13,74 Anniversary Junction,2330,New South Wales,Australia,6
82,Gleda Cokely,Female,52,Software Test Engineer III,Property,93,High Net Worth,No,No,19,2083 Spaight Court,3977,Victoria,Australia,8
83,Kerr Simmell,Male,50,Internal Auditor,IT,97,Mass Customer,No,Yes,18,2796 Caliangt Circle,2204,New South Wales,Australia,12
84,Rich Mathiasen,Male,59,Accountant III,N/A,78,Mass Customer,No,Yes,14,96061 Ludington Place,2086,New South Wales,Australia,11
85,Kane Tixall,Male,59,Analyst Programmer,N/A,1,Mass Customer,No,No,8,5037 Merchant Crossing,2226,New South Wales,Australia,11
86,Job Sleney,Male,28,Occupational Therapist,Health,75,High Net Worth,No,Yes,7,289 Haas Street,2075,New South Wales,Australia,11
87,Fields Langdon,Male,43,Editor,Financial Services,78,Mass Customer,No,No,8,4423 Bartelt Parkway,2038,New South Wales,Australia,12
88,Malynda Tumber,Female,51,Help Desk Operator,Property,41,High Net Worth,No,Yes,7,5 Grim Center,2069,New South Wales,Australia,12
89,Benedicto Hoxey,Male,50,Speech Pathologist,Health,74,Mass Customer,No,Yes,14,73042 Roth Crossing,2100,New South Wales,Australia,11
90,Cary Garron,Male,33,Quality Control Specialist,Manufacturing,76,Mass Customer,No,No,11,171 Fordem Junction,2233,New South Wales,Australia,10
91,Dylan Meaker,Male,62,Senior Financial Analyst,Financial Services,69,Affluent Customer,No,Yes,17,2640 Manley Point,2166,New South Wales,Australia,9
92,Jodee Judkins,Female,37,Recruiting Manager,Health,98,Mass Customer,No,No,12,3 Hintze Pass,3133,Victoria,Australia,10
93,Gordon Gowar,Male,41,Project Manager,Retail,63,Mass Customer,No,Yes,10,2 Mcbride Road,3070,Victoria,Australia,10
94,Wallache Simchenko,Male,43,Civil Engineer,Manufacturing,33,Mass Customer,No,No,21,67234 Transport Hill,2777,New South Wales,Australia,7
95,Nomi Mallinder,Female,57,Software Engineer III,Manufacturing,67,Affluent Customer,No,Yes,8,72 Dorton Crossing,3133,Victoria,Australia,10
96,Heath Olford,Male,49,Nuclear Power Engineer,Manufacturing,33,Mass Customer,No,No,15,6 Heffernan Center,2125,New South Wales,Australia,11
97,Arne Corain,Male,38,Community Outreach Specialist,Financial Services,16,Mass Customer,No,Yes,10,6088 Roxbury Hill,2766,New South Wales,Australia,8
98,Allianora Babalola,Female,61,Safety Technician IV,Health,19,Mass Customer,No,No,7,105 Shelley Alley,2209,New South Wales,Australia,10
99,Reggie Mulliner,Male,19,VP Accounting,Financial Services,97,Mass Customer,No,No,3,079 Merry Park,2160,New South Wales,Australia,9
100,Tripp Steed,Male,49,General Manager,Financial Services,80,Mass Customer,No,Yes,4,8722 Summit Alley,2065,New South Wales,Australia,12
101,Goran Kwietek,Male,42,Nurse Practicioner,Manufacturing,83,High Net Worth,No,No,11,9554 Artisan Pass,2150,New South Wales,Australia,10
102,Langsdon Tranfield,Male,61,Quality Control Specialist,Manufacturing,51,Affluent Customer,No,No,16,55850 Butterfield Road,2168,New South Wales,Australia,9
103,Ethyl Runham,Female,20,Product Engineer,Financial Services,49,Affluent Customer,No,Yes,4,68 Little Fleur Crossing,2046,New South Wales,Australia,12
104,Odille Panketh,Female,39,Automation Specialist II,Health,40,Mass Customer,No,Yes,9,85688 New Castle Crossing,4171,Queensland,Australia,10
105,Maribeth Pristnor,Female,16,Recruiting Manager,Manufacturing,25,Mass Customer,No,No,1,8611 Loomis Lane,2155,New South Wales,Australia,10
106,Glyn,Male,51,Software Test Engineer III,Health,54,High Net Worth,No,Yes,18,7909 Pierstorff Crossing,2517,New South Wales,Australia,9
107,Pris Stallebrass,Female,27,Nurse Practicioner,Financial Services,97,Mass Customer,No,Yes,9,01 Muir Parkway,2096,New South Wales,Australia,12
108,Kayle Mingaud,Female,23,N/A,N/A,4,High Net Worth,No,No,3,0410 Division Junction,2750,New South Wales,Australia,8
109,Cody Blabey,Male,39,Marketing Assistant,N/A,16,Affluent Customer,No,Yes,4,41 Service Lane,2217,New South Wales,Australia,11
110,Sascha St. Quintin,Male,17,N/A,Financial Services,23,Affluent Customer,No,No,1,5 Moose Road,3977,Victoria,Australia,8
111,Cele Evason,Female,24,Analyst Programmer,N/A,65,Mass Customer,No,No,2,7342 Fieldstone Junction,2093,New South Wales,Australia,12
112,Shena Parren,Female,42,Marketing Manager,Retail,88,High Net Worth,No,No,12,0 David Terrace,3204,Victoria,Australia,11
113,Gage Nickless,Male,61,Staff Scientist,N/A,67,Mass Customer,No,No,20,15239 Northwestern Point,4300,Queensland,Australia,4
114,Sunny Swindells,Female,32,Teacher,Entertainment,10,Affluent Customer,No,No,8,60 Oneill Street,2170,New South Wales,Australia,9
115,Alberik Mereweather,Male,36,Account Executive,Health,77,Mass Customer,No,No,18,8194 Sachtjen Drive,3844,Victoria,Australia,1
116,Scottie Swiffen,Male,18,Assistant Professor,Manufacturing,49,Affluent Customer,No,Yes,2,0349 Farmco Terrace,2168,New South Wales,Australia,8
117,Nance Suttling,Female,35,Marketing Manager,Manufacturing,75,Mass Customer,No,No,15,185 Pennsylvania Way,4226,Queensland,Australia,6
118,Prentice Pearmain,Male,58,Budget/Accounting Analyst IV,N/A,43,High Net Worth,No,No,19,432 Longview Circle,3192,Victoria,Australia,10
119,Willey Chastanet,Male,36,Associate Professor,N/A,9,High Net Worth,No,Yes,9,5814 Bunker Hill Street,3070,Victoria,Australia,7
120,Sloan Wagg,Male,39,Legal Assistant,Financial Services,80,High Net Worth,No,Yes,4,7 Carberry Crossing,2485,New South Wales,Australia,2
121,Myles Pauncefort,Male,60,Graphic Designer,Manufacturing,82,Mass Customer,No,No,15,53 Talisman Trail,2097,New South Wales,Australia,9
122,Colver Itter,Male,38,Quality Control Specialist,Financial Services,87,Mass Customer,No,Yes,12,5 Prairie Rose Road,4817,Queensland,Australia,2
123,Almeta Kalinsky,Female,29,Analyst Programmer,Financial Services,85,High Net Worth,No,No,15,84 Florence Parkway,2516,New South Wales,Australia,8
124,Kath Cunney,Female,22,Administrative Assistant II,Health,27,High Net Worth,No,Yes,5,739 Elmside Way,3074,Victoria,Australia,8
125,Darrelle Antoniewski,Female,57,Computer Systems Analyst II,Property,94,Mass Customer,No,No,16,684 Northport Circle,2213,New South Wales,Australia,10
126,Norman Cliff,Male,25,Administrative Officer,Health,53,Mass Customer,No,Yes,3,8 Hagan Hill,4508,Queensland,Australia,4
127,Merrili Whitear,Female,43,Compensation Analyst,Financial Services,81,Mass Customer,No,No,19,0 Pearson Crossing,4405,Queensland,Australia,1
128,Isidro Cypler,Male,40,Systems Administrator III,Property,73,Mass Customer,No,Yes,12,10918 Merry Way,2452,New South Wales,Australia,5
129,Weidar Silkstone,Male,32,Financial Advisor,Financial Services,64,High Net Worth,No,Yes,19,97 Coolidge Trail,2142,New South Wales,Australia,9
130,Raddy Delete,Male,20,Chemical Engineer,Manufacturing,32,Mass Customer,No,No,1,58 Helena Hill,2205,New South Wales,Australia,7
131,Jana Renyard,Female,53,Administrative Officer,Retail,57,High Net Worth,No,No,8,352 Forster Place,4132,Queensland,Australia,3
132,Celesta Willavoys,Female,54,Web Designer I,Manufacturing,5,Mass Customer,No,Yes,9,12306 Lawn Street,2145,New South Wales,Australia,8
133,Eldridge Fiddeman,Male,40,VP Accounting,Financial Services,12,Mass Customer,No,Yes,16,19392 7th Trail,4744,Queensland,Australia,1
134,Merna McCulloch,Female,20,Legal Assistant,Telecommunications,34,Affluent Customer,No,Yes,5,1605 Northfield Junction,2158,New South Wales,Australia,11
135,Rosalia Sigart,Female,42,Internal Auditor,IT,18,Mass Customer,No,No,3,9674 Graceland Junction,3201,Victoria,Australia,6
136,Mel Bennet,Male,44,Senior Developer,Manufacturing,46,High Net Worth,No,Yes,7,638 Thackeray Junction,4178,Queensland,Australia,3
137,Vaughn Artin,Male,30,Office Assistant II,Property,27,High Net Worth,No,No,10,869 Forster Circle,2112,New South Wales,Australia,10
138,Onofredo Franc,Male,32,Recruiter,Financial Services,5,Affluent Customer,No,Yes,13,0 Golden Leaf Crossing,2033,New South Wales,Australia,9
139,Gar,Male,53,Operator,Telecommunications,1,Affluent Customer,No,No,4,215 Lindbergh Trail,4401,Queensland,Australia,1
140,Morrie Flaxon,Male,23,Programmer Analyst III,Manufacturing,9,Mass Customer,No,No,2,829 Washington Crossing,3186,Victoria,Australia,9
141,Townsend Trobe,Male,63,Teacher,Financial Services,67,High Net Worth,No,Yes,10,585 Loomis Court,2097,New South Wales,Australia,11
142,Bentley Fortesquieu,Male,50,Quality Engineer,Health,57,Affluent Customer,No,No,17,68063 Blue Bill Park Center,3058,Victoria,Australia,9
143,Kendall Figg,Male,60,Operator,Argiculture,19,Mass Customer,No,Yes,11,15673 Farmco Point,4017,Queensland,Australia,6
144,Jory Barrabeale,Unknown,0,Environmental Tech,IT,71,Mass Customer,No,No,0,22 Oxford Junction,2315,New South Wales,Australia,3
145,Filippo Ferrara,Male,20,Account Executive,Financial Services,33,Mass Customer,No,No,4,7245 Cottonwood Center,2285,New South Wales,Australia,5
146,Ricoriki Matlock,Male,32,Quality Control Specialist,Manufacturing,34,Mass Customer,No,No,8,20382 Spohn Alley,2219,New South Wales,Australia,11
147,Rea Pattrick,Female,44,Analog Circuit Design manager,Health,32,Mass Customer,No,Yes,10,12375 Cambridge Pass,2065,New South Wales,Australia,11
148,Jaquith Maffey,Female,36,Programmer Analyst III,N/A,69,Mass Customer,No,Yes,5,03 Granby Parkway,3216,Victoria,Australia,8
149,Drucy Kausche,Female,22,Research Nurse,Health,41,Mass Customer,No,Yes,1,939 Coleman Pass,4509,Queensland,Australia,7
150,Bradly Crosse,Male,34,Cost Accountant,Financial Services,6,Affluent Customer,No,No,17,69914 Bowman Place,2330,New South Wales,Australia,7
151,Donnie Brimson,Male,52,Marketing Manager,Manufacturing,36,Mass Customer,No,Yes,13,34457 Springview Street,2759,New South Wales,Australia,9
152,Stephana Cardew,Female,36,Compensation Analyst,Financial Services,5,Mass Customer,No,No,16,992 Old Shore Trail,2069,New South Wales,Australia,12
153,Lorilyn Walshe,Female,40,Assistant Media Planner,Entertainment,73,Mass Customer,No,Yes,12,453 Sheridan Street,2747,New South Wales,Australia,8
154,Faydra Dulieu,Female,59,Junior Executive,N/A,90,Mass Customer,No,No,11,8 Mccormick Crossing,2227,New South Wales,Australia,8
155,Orran Bogges,Male,32,Quality Engineer,Manufacturing,4,Mass Customer,No,No,10,63344 Holmberg Crossing,2025,New South Wales,Australia,10
156,Shayla Rimmington,Female,38,Cost Accountant,Financial Services,23,Mass Customer,No,Yes,11,9 Huxley Circle,3191,Victoria,Australia,11
157,Chad Houtby,Male,43,Financial Advisor,Financial Services,97,Affluent Customer,No,No,16,0 Hazelcrest Road,3025,Victoria,Australia,8
158,Hamlin Odams,Male,33,Internal Auditor,N/A,99,Affluent Customer,No,No,5,2 Continental Plaza,2263,New South Wales,Australia,6
159,Arin Matskevich,Male,30,Research Nurse,Health,90,Affluent Customer,No,No,13,80 Duke Terrace,2233,New South Wales,Australia,10
160,Wake Durning,Male,53,Registered Nurse,Health,5,Mass Customer,No,No,18,860 Hintze Lane,2154,New South Wales,Australia,11
161,Tadd Bloss,Male,41,N/A,N/A,49,Mass Customer,No,No,16,3723 Bunker Hill Circle,2065,New South Wales,Australia,10
162,Port Acuna,Male,38,Nurse Practicioner,IT,90,Mass Customer,No,No,15,5 Corry Court,2119,New South Wales,Australia,10
163,Kessia Helder,Female,41,Librarian,Entertainment,58,High Net Worth,No,Yes,14,65105 Sommers Pass,3016,Victoria,Australia,10
164,Aarika Van Vuuren,Female,18,Senior Editor,Retail,55,Affluent Customer,No,Yes,1,2054 Sommers Pass,4113,Queensland,Australia,4
165,Aldon Roelofs,Male,33,Administrative Officer,Argiculture,61,Mass Customer,No,Yes,12,22371 Miller Trail,2032,New South Wales,Australia,10
166,Elston Oleszczak,Male,62,Structural Analysis Engineer,Manufacturing,54,Affluent Customer,No,No,6,35807 Oneill Way,4300,Queensland,Australia,4
167,Nathalie Tideswell,Female,48,N/A,Health,95,High Net Worth,No,Yes,17,75612 Clarendon Junction,4352,Queensland,Australia,6
168,Reggie Broggetti,Unknown,0,General Manager,IT,8,Affluent Customer,No,Yes,0,16 Golf View Center,3020,Victoria,Australia,6
169,Alfy Bruhnke,Male,60,Data Coordiator,Telecommunications,20,High Net Worth,No,Yes,5,93 Iowa Junction,2116,New South Wales,Australia,9
170,Jammal Gever,Male,42,Pharmacist,Health,80,High Net Worth,No,No,21,48 Cascade Terrace,3057,Victoria,Australia,8
171,Halli Davidoff,Female,47,Assistant Manager,Manufacturing,62,Mass Customer,No,No,10,13950 Jackson Avenue,2099,New South Wales,Australia,11
172,Hilton Carney,Male,29,Editor,Manufacturing,54,Affluent Customer,No,Yes,6,35386 Mockingbird Road,3749,Victoria,Australia,4
173,Ebba Hanselmann,Female,21,General Manager,Health,99,Affluent Customer,No,No,1,2 Randy Point,2766,New South Wales,Australia,8
174,Catie Tosspell,Female,28,Food Chemist,Health,93,Mass Customer,No,No,12,6898 Redwing Park,2148,New South Wales,Australia,9
175,Templeton Hambrook,Male,42,Quality Engineer,Manufacturing,36,Affluent Customer,No,No,5,52273 Bay Place,3145,Victoria,Australia,11
176,Angelo Clayal,Male,25,Accountant I,Property,39,Mass Customer,No,No,10,272 Montana Avenue,2021,New South Wales,Australia,8
177,Ondrea Pablos,Female,28,Professor,Financial Services,25,High Net Worth,No,No,4,82520 Mifflin Drive,2333,New South Wales,Australia,5
178,Matthieu Bertelmot,Male,50,N/A,N/A,2,Affluent Customer,No,No,8,8 Dixon Parkway,2783,New South Wales,Australia,7
179,Esteban Sewill,Male,51,Environmental Tech,Manufacturing,23,High Net Worth,No,Yes,6,4 Dayton Terrace,2280,New South Wales,Australia,9
180,Trisha Neasham,Female,46,Web Designer III,Argiculture,16,Affluent Customer,No,No,14,216 Barnett Junction,4120,Queensland,Australia,8
181,Pavla Braunle,Female,35,Senior Editor,Manufacturing,49,Mass Customer,No,No,9,8256 Annamark Court,3638,Victoria,Australia,1
182,Lydon Dahlman,Male,25,Sales Associate,Financial Services,99,Affluent Customer,No,Yes,7,83012 Dapin Lane,4300,Queensland,Australia,4
183,Dannie Hissie,Female,20,Geologist III,Retail,7,Affluent Customer,No,No,3,8 Haas Park,2074,New South Wales,Australia,10
184,Nappie Paolo,Male,46,Marketing Manager,Manufacturing,40,High Net Worth,No,Yes,7,50 Meadow Ridge Way,2880,New South Wales,Australia,1
185,Crosby Walcot,Male,38,N/A,Property,80,Mass Customer,No,Yes,13,3567 Northfield Lane,2430,New South Wales,Australia,5
186,Mireielle Jeppe,Female,43,Software Test Engineer I,Financial Services,46,Mass Customer,No,No,3,0059 Brentwood Road,4560,Queensland,Australia,7
187,Pincas Ather,Male,63,Structural Engineer,N/A,97,Mass Customer,No,No,11,0274 Oneill Alley,2088,New South Wales,Australia,10
188,Audry Seine,Female,42,Safety Technician II,Property,54,High Net Worth,No,Yes,13,4179 Carioca Terrace,2220,New South Wales,Australia,11
189,Umberto Torricella,Male,36,Safety Technician I,Financial Services,73,Affluent Customer,No,No,10,59265 Sullivan Junction,3031,Victoria,Australia,4
190,Hayley Girardengo,Female,38,Registered Nurse,Health,42,Affluent Customer,No,No,10,7 Warbler Point,2250,New South Wales,Australia,9
191,Christopher Heining,Male,57,Help Desk Operator,N/A,22,Affluent Customer,No,Yes,6,3 Buell Park,2261,New South Wales,Australia,7
192,Goldi Osler,Female,39,Junior Executive,Health,2,Mass Customer,No,Yes,8,0 Bay Center,3196,Victoria,Australia,6
193,Foss Hardes,Male,53,Recruiting Manager,Manufacturing,13,Mass Customer,No,Yes,12,10878 Waywood Way,4352,Queensland,Australia,7
194,Ursala Ferrai,Female,43,Web Developer III,Financial Services,4,Affluent Customer,No,No,10,362 Mayer Terrace,4680,Queensland,Australia,5
195,Talyah Rylatt,Female,59,Project Manager,Manufacturing,34,Mass Customer,No,No,6,43 Upham Crossing,3143,Victoria,Australia,9
196,Swen Odhams,Male,51,Programmer Analyst II,Manufacturing,90,High Net Worth,No,No,6,0 Superior Drive,2747,New South Wales,Australia,8
197,Avis,Female,40,N/A,N/A,32,High Net Worth,No,No,5,8890 Golden Leaf Street,2063,New South Wales,Australia,12
198,Vanya Gumb,Female,36,Assistant Media Planner,Entertainment,82,Mass Customer,No,No,16,5484 Hagan Crossing,3021,Victoria,Australia,7
199,Verla Alven,Female,39,Junior Executive,Health,61,Mass Customer,No,Yes,21,7451 Jana Lane,2138,New South Wales,Australia,8
200,Hube Weald,Male,60,Physical Therapy Assistant,Property,7,Affluent Customer,No,Yes,19,7 Havey Point,4005,Queensland,Australia,2
201,Salem Huie,Male,51,Design Engineer,Manufacturing,45,Mass Customer,No,Yes,11,32 Steensland Plaza,2233,New South Wales,Australia,9
202,Audie Pillinger,Female,54,Librarian,Entertainment,38,Affluent Customer,No,Yes,16,107 Elmside Parkway,4811,Queensland,Australia,5
